CountryName,CountryCode,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
East Asia & Pacific (IDA & IBRD countries),TEA,395.9878257,417.6446468,446.450128,493.3606957,534.5008811,634.6708462,773.5646908,877.7585402,898.4194107,814.1429433,886.1468905,965.7621815,1017.941865,1116.676237,1253.316908,1441.730907,1656.848533,1980.2379,2485.911169,3124.285159,3364.529079,4051.867383,4917.929165,5446.809268,5968.185535,6370.64783,6579.686088,6648.457336
Europe & Central Asia (IDA & IBRD countries),TEC,2257.246155,2383.73115,2342.422158,2186.037636,2149.157817,1929.164591,2115.258809,2179.69294,2250.046036,2173.906637,1883.895268,2049.886259,2087.674388,2346.259101,2886.948975,3732.356604,4669.098823,5641.53826,7240.9485,8939.128156,7060.26141,8238.80164,9964.342753,10345.93259,10919.22794,10265.95048,7940.095906,7611.036783
Togo,TGO,367.0137728,430.0114381,412.722312,426.0809921,303.4487827,236.0011558,306.3583371,333.189857,330.5621437,339.2473068,326.6040699,299.4116476,289.7512701,323.467151,391.5667186,407.6072462,401.2789525,402.4630581,443.3757548,537.2261475,531.6683806,526.8410724,579.0130763,564.6971486,613.4402094,632.0313104,563.4753638,586.0522537
Thailand,THA,1294.932165,1508.285774,1715.638125,1926.987525,2208.345294,2490.311547,2845.410314,3042.903989,2467.492895,1845.466238,2032.992147,2007.564826,1893.145377,2096.054617,2358.930629,2659.839108,2893.651356,3368.952576,3972.206475,4378.687406,4212.054902,5075.302176,5491.159981,5859.887644,6168.394881,5953.793928,5846.394608,5979.293546
Tajikistan,TJK,,497.6401257,469.3306256,346.9480225,291.4226261,267.968918,213.638972,178.4744154,155.3562498,219.226346,177.6983688,138.4319081,170.8085033,189.3945515,236.49018,309.2801984,337.360397,404.2894059,520.0371866,706.0875846,666.3458569,738.3475227,834.5412953,954.7205253,1040.137412,1104.459019,918.8119145,795.9607475
Turkmenistan,TKM,838.5665772,865.7896521,846.6461572,820.6842727,791.0862896,606.6690572,588.0960878,554.8330098,562.637312,590.3934846,548.6995162,643.1750108,774.4833398,967.8907946,1283.911815,1453.917166,1704.419323,2136.476099,2600.371428,3904.467675,4036.459223,4439.203,5649.978486,6675.262954,7304.420525,7962.365824,6432.68417,6389.354326
Latin America & the Caribbean (IDA & IBRD countries),TLA,2233.496817,2579.515052,3155.189764,2919.802606,3312.652165,3719.341311,3898.105575,4167.083763,4497.495559,4454.238393,3925.363963,4273.252557,4100.148359,3596.746124,3619.706532,4136.909398,4971.019355,5769.841745,6745.349735,7778.724061,7195.567392,8880.204872,10008.32737,9985.93354,10114.33737,10194.20621,8602.549078,8287.516175
Timor-Leste,TLS,,,,,,,,,,,,504.3557475,580.0358755,552.8103266,565.5397501,1081.972674,1767.0027,2534.66219,2705.232903,4073.23928,2929.980284,3603.940551,5021.462224,5766.969812,4770.315933,3335.548567,2501.577386,1987.118804
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,1194.264528,1197.358485,1337.394686,1521.397166,1530.942037,1523.071813,1580.829528,1608.842159,1637.130789,1563.068,1733.405457,1975.622193,2287.78591,2613.614846,3175.051535,3840.68192,3648.612343,4143.288742,4611.075979,4989.655386,4597.043856,4444.104498,3942.887352,3915.34289
Tonga,TON,1120.256771,1193.486507,1386.730109,1435.309233,1447.972527,2022.016874,2108.19574,2278.570599,2193.384592,1942.523265,2015.41817,2063.207236,1837.977391,1842.404421,2029.714718,2284.307858,2594.74999,2892.522663,2932.315883,3392.887992,3070.987247,3548.068399,4044.979721,4500.750362,4278.884567,4196.470593,4093.849585,3744.492261
South Asia (IDA & IBRD),TSA,341.2729915,359.3956011,312.6982528,324.967978,315.0734011,350.035385,381.010881,408.5822329,420.3056557,418.0907198,439.60553,448.8394123,452.3114269,466.0965114,534.8973989,609.7733177,687.561564,778.2399018,963.7385165,964.1141931,1047.163907,1263.828366,1373.73465,1370.189137,1387.135899,1499.472711,1546.44764,1652.607405
Sub-Saharan Africa (IDA & IBRD countries),TSS,662.6702789,655.654597,648.5264683,622.2898271,564.7340798,541.4297125,604.3224059,607.4679463,614.9705092,577.9458054,567.8639511,589.4454799,547.4999706,581.5246647,709.4802743,861.09948,994.3059195,1151.225413,1300.564512,1450.953215,1342.811366,1557.453562,1720.358244,1762.535536,1827.489658,1867.840726,1657.123451,1495.882001
Trinidad and Tobago,TTO,3562.107229,4147.638923,4315.696945,4395.644513,3752.380464,3956.758089,4246.382404,4577.004528,4551.321854,4786.92537,5383.552427,6430.947262,6935.721451,7049.626612,8804.518666,10290.51914,12323.12705,14096.18668,16529.65801,21189.12927,14506.58604,16683.42242,19004.15714,19083.21481,19713.37929,20081.52191,17941.23794,16334.21714
Tunisia,TUN,1254.770903,1492.878809,1553.251774,1801.334534,1662.963364,1745.357659,1978.376789,2116.167296,2210.786913,2295.237988,2389.036036,2213.914088,2254.933126,2346.05937,2761.969249,3112.835029,3194.562243,3371.71231,3778.184171,4310.093026,4129.977335,4140.15177,4256.91279,4137.54814,4199.084678,4274.292832,3827.729834,3666.357154
Turkey,TUR,2021.861437,2794.353551,2735.710807,2842.373598,3180.192011,2270.340362,2897.870208,3053.950828,3144.389453,4496.509486,4108.114652,4316.561103,3119.606218,3660.07113,4718.455282,6040.879696,7384.259107,8034.611206,9709.721346,10850.87194,9036.268076,10672.40036,11340.82227,11720.31301,12542.72093,12127.46146,10984.80288,10862.72643
Tuvalu,TUV,,980.1674709,1034.482041,1069.595946,1051.85266,1184.638255,1194.576939,1332.63248,1369.074641,1370.904026,1464.648593,1458.817097,1387.357543,1603.631992,1866.599625,2176.564747,2178.02921,2259.333279,2638.911845,2929.42164,2595.639908,3021.889528,3642.437689,3512.516068,3466.967564,3418.645719,3232.07334,3295.720635
Tanzania,TZA,184.3396842,172.0447984,193.7400952,173.8913828,155.5982751,159.6357424,180.4650233,216.9327932,249.931287,389.1031232,392.938073,402.7897805,398.0742294,403.1748926,421.8610696,448.810772,480.6285805,472.5187986,536.4575519,664.8926655,670.4615965,715.149284,750.2661326,831.9648282,929.1306273,985.2280595,905.7562921,922.623927
Uganda,UGA,313.2169534,246.8273307,184.126852,153.1911684,167.0748918,200.4472479,280.0845471,285.0934669,286.7169623,291.9864072,257.7477999,257.6303609,234.9840775,240.2423229,237.9995917,288.0236949,315.7880227,336.4593923,401.8508631,449.6928183,554.404991,595.2061732,574.9195768,636.6382045,655.0495315,702.795104,675.1211397,581.7027729
Ukraine,UKR,1597.534644,1569.739433,1489.689635,1417.868805,1258.136333,1012.105192,935.9680914,872.7091855,991.2301007,835.2602988,635.7662418,635.7089635,779.9771307,878.6182021,1047.502769,1366.017225,1826.932206,2300.77148,3065.611623,3887.241412,2542.997136,2965.142365,3569.757027,3855.42128,4029.715504,3104.658296,2124.662666,2187.731997
Upper middle income,UMC,1130.868545,1252.680404,1347.934673,1276.610451,1373.154543,1475.199175,1642.772764,1775.823008,1872.606465,1828.25132,1712.15792,1880.911863,1898.235862,1963.495285,2177.287378,2590.065947,3094.332635,3653.805343,4513.761007,5474.530946,5238.930045,6297.686024,7470.462587,7953.338288,8403.069118,8624.580717,7966.504309,7870.599026
Uruguay,URY,2731.95053,2989.991172,3577.839165,4082.025919,4720.382272,5458.086452,5984.13519,6316.29371,7327.957729,7711.07657,7247.398162,6871.897677,6281.377047,4088.768855,3622.052284,4117.308853,5220.951116,5877.876078,7009.69705,9062.312171,9415.170382,11938.212,14166.49909,15092.06819,16881.20568,16737.89827,15524.84247,15298.35089
United States,USA,22922.43709,23954.47935,24405.16481,25492.95165,26464.85251,27776.63553,28782.17502,30068.23092,31572.69023,32949.19776,34620.9289,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48466.82102,49883.11686,51603.49615,53106.9155,55032.95946,56803.47061,57904.20433
Uzbekistan,UZB,,651.4192061,652.8074753,603.3520153,596.9835856,576.4471105,585.9323642,600.5981578,623.0026524,623.2161328,702.4807441,558.2268024,456.7062895,383.343068,396.377979,465.1198869,546.7768502,654.2838373,830.4076942,1082.286025,1213.265328,1377.08214,1564.966945,1740.468298,1907.551233,2050.448414,2137.576852,2117.74443
St. Vincent and the Grenadines,VCT,2005.388314,2235.851938,2363.604259,2573.577689,2648.74195,2676.788664,2922.702886,3067.219095,3219.973334,3461.943365,3621.794106,3672.555287,3982.287813,4270.924902,4446.758618,4808.215911,5064.451065,5609.648939,6276.617048,6370.437886,6177.610514,6231.770232,6183.676822,6338.117781,6597.228304,6654.484003,6901.996541,7029.743842
"Venezuela, RB",VEN,2244.970385,2446.80411,2630.17726,2904.061755,2824.801751,2688.839188,3488.615438,3114.476532,3714.533682,3874.981721,4077.496123,4783.530592,4926.311339,3655.97562,3232.524276,4271.372404,5432.688675,6735.797588,8318.803399,11227.23138,11536.14939,13545.26345,10741.57638,12755.00008,12237.19374,15692.41288,,
